uuid,name,category_groups_list
5349a2f2-14d8-9727-c32a-19ebea5db78c,Social Media,"Internet Services,Media and Entertainment"
5222bb72-6a6d-08c3-7afe-afa9db296e5b,Reading Apps,"Apps,Software"
4a45af54-9841-add7-cda3-1c166889a6b0,Loyalty Programs,Sales and Marketing
4349df99-4484-6059-bde4-1b4ac7b55abd,Toys,Consumer Goods
404d4762-e5b6-1721-c045-6b0556619e73,Public Transportation,Transportation
3f21415b-5784-6be6-3722-eb189190b7cd,Health Care,Health Care
2f47ba93-33d3-61fe-de89-0fe8a4a8366b,Digital Media,Media and Entertainment
2de01956-ad66-8623-0b9b-2c83ef9b7ad9,Alumni,"Education,Other"
2772a539-e636-09dc-30dc-b1a7deb98d0e,Internet,Internet Services
275ddcbc-27de-ff4f-4e50-6dc26ebf9570,E-Commerce,Commerce and Shopping
2643338a-b464-bb84-8a4e-2a1f0e8a9958,Tobacco,"Consumer Goods,Food and Beverage"
202de69d-732b-5471-1e68-8453cfbc8b92,Therapeutics,Health Care
1fe278ea-e441-01b9-30db-6c301c0d6fd1,Business Development,Professional Services
1f843ff1-4a47-c956-aa2a-cc8d290da90f,Impact Investing,"Financial Services,Lending and Investments"
1ded7054-9e6d-2ede-57ad-c95e83be0c06,Blogging Platforms,"Content and Publishing,Media and Entertainment"
1b0319b6-bf80-9296-7c58-e45f0767bbb4,Crowdsourcing,Other
11b5fc5f-2db3-a0a6-1457-bb237c7b6ac0,Credit,"Financial Services,Lending and Investments"
104eed8c-8bd5-5d13-e418-d698bf8a2bce,Fraud Detection,"Financial Services,Payments,Privacy and Security"
0ff04f3a-4264-226a-9c03-a481554b637d,Energy,Energy
03f72e37-791c-2a02-cc32-3a202dbaab3e,Mobile Advertising,"Advertising,Sales and Marketing"
fec1a806-6b09-549e-2c93-7aacad1a38f9,Lead Generation,Sales and Marketing
fe55ab18-5d21-5cd3-3aac-f899919728ed,Landscaping,Real Estate
fb98376c-283a-7d36-fd3e-65d036d7ef2a,Customer Service,"Other,Professional Services"
f9e27700-8504-b203-6b23-606fb32d1449,Industrial Automation,"Manufacturing,Science and Engineering"
f8146b4d-5d26-53a6-fea7-304e54b40e50,Email Marketing,Sales and Marketing
f6de0321-9c3e-cbab-7a67-a018375bbb4e,Child Care,Health Care
f6195c47-1e3b-4cce-5409-6ed62f94d43c,Payments,"Financial Services,Payments"
f579213a-60af-8bb3-309b-1d80607ad2a9,Information Services,Information Technology
f544c562-7d7f-0184-1344-ce30946b60e3,Content Syndication,"Content and Publishing,Media and Entertainment"
f4ba246e-e61b-40f4-2289-0686ca748ea4,Leisure,Community and Lifestyle
f3d22026-c056-e0f6-52d9-a6b4e6008f84,Field-Programmable Gate Array (FPGA),Hardware
f283d492-b4e4-703f-1270-783173e63eef,Communications Infrastructure,Hardware
efb26505-b898-6955-990b-3df12fa3e02b,Social Bookmarking,"Content and Publishing,Other"
ef901c9f-de7f-7411-3d79-0f62c6b22e44,Power Grid,Energy
ef231156-53f4-cfa3-79ee-a04b28bc3c4a,Public Safety,Government and Military
ed3a589d-c9a7-3cbb-9feb-245f011e1d54,Internet of Things,Internet Services
ecb24ac4-b12d-cec8-86b4-d3cd57b451ee,Data Center Automation,"Hardware,Information Technology,Software"
eb80816d-769e-b2dc-e9b4-b6399e8c498e,Open Source,Software
eb60e5da-548d-c298-3a92-06c15a2c89eb,Virtualization,"Hardware,Information Technology,Software"
ea5b8052-d65d-c77b-6861-ebf3acf6d3cf,Waste Management,Sustainability
e9ec479b-6753-59a6-c818-abc9eb1507b6,Test and Measurement,Data and Analytics
e9abe18b-6578-192c-63a8-266acf7aa840,Social Media Advertising,"Advertising,Sales and Marketing"
e811671c-168d-1fd2-36e5-df4e08a09f7c,Manufacturing,Manufacturing
e7acbc99-32c7-4c88-09ed-8fae63eb2559,Text Analytics,"Data and Analytics,Software"
e643b268-4da3-8a4a-c1ff-ae941d27b779,Energy Efficiency,"Energy,Sustainability"
e5dbd6bd-bc84-dc1d-ebac-595549a4319d,Cooking,Food and Beverage
e55f09e8-697b-1653-f86e-0274d25d6db6,Training,Education
e4d83fbb-33f0-a6f0-1399-a68245e8f8ac,Construction,Real Estate
e2ea4bf5-a8e8-50e4-e803-64db842d7983,Information and Communications Technology (ICT),Information Technology
e2cc6239-1a97-0063-a30f-fe3b5d86161b,Young Adults,Community and Lifestyle
e1a4665e-8b66-feda-2432-39e907eceb6d,Privacy,Privacy and Security
e173f255-3db1-9d02-74cb-f58a1f45b483,Electronics,"Consumer Electronics,Hardware"
e12cc7de-d276-007e-7d89-bdf3f8d1ffe7,Telecommunications,Hardware
dedf003e-1bb6-d63c-8aa2-72384f91e5f0,Gift Exchange,Commerce and Shopping
dddb9b25-2585-b348-f887-90a8c0fc4e0f,Video Conferencing,"Hardware,Information Technology,Internet Services,Messaging and Telecommunications,Software"
dd82e300-d885-87dd-148b-419b21c14cc9,Web Design,Design
dd74fc36-a3bd-4b34-d995-c4366e67c0cd,Language Learning,Education
dd456d82-95d9-4e89-3e19-12a629a598ad,Billing,"Payments,Software"
dd09c747-194a-1304-b2ba-c467be9226c8,Architecture,Real Estate
dcfb5d50-2943-35bd-7ad4-4999a96c3480,Professional Services,Other
db343f85-e0e3-807d-0517-742163265ebb,Cloud Security,"Information Technology,Privacy and Security"
db173067-d318-c3fc-357a-ac38fa64c111,Project Management,"Administrative Services,Other"
dabab6af-bf12-00ca-b185-85cead095097,Video Games,Gaming
da2d8638-5b11-da4b-129c-a7c7f2cd4e55,Dental,Health Care
d922c006-3ba0-537a-edb5-379ca5767662,Music,"Media and Entertainment,Music and Audio"
d8cc3046-5eec-55fd-eaeb-4847152c3f77,Universities,Other
d818cc40-e0a2-aac2-84da-aeaa3dfeacc0,B2B,Other
d4daa14a-4946-67f6-d0b9-0997bdb2b889,Music Education,"Education,Media and Entertainment,Music and Audio"
d29852ab-4bbf-95f5-6087-563ff127de71,Brand Marketing,Sales and Marketing
d2836636-d33e-d8c2-1189-32668d519b74,Nanotechnology,Science and Engineering
d1c5bf86-cc15-0f81-7020-8988122283cc,Musical Instruments,"Media and Entertainment,Music and Audio"
d1a166b5-2c1e-757c-b08e-6e5b7962e944,Fashion,"Clothing and Apparel,Design"
ccb73ca1-4648-8df2-22ae-029e3500f4c1,Animal Feed,Agriculture and Farming
c9461eef-9ba2-cb92-0d05-2d2d5f85141c,Advice,Media and Entertainment
c704ac44-d7ba-7cbe-146c-1503d4e620f0,Journalism,"Content and Publishing,Media and Entertainment"
c6d041b1-4dbe-796e-bd46-b7e050a344ec,Lingerie,"Clothing and Apparel,Consumer Goods"
c4c66159-7592-b141-ce57-4ffde4dabdde,Career Planning,Professional Services
c3d5f46f-0a9d-cfdc-a44a-4cc6a13fe804,Solar,"Energy,Natural Resources,Sustainability"
c333af05-5f63-e062-1fb3-99189f106b59,Film,"Media and Entertainment,Video"
c2ddf939-d1f3-bd05-c436-22c0f3cdcb4b,E-Commerce Platforms,"Commerce and Shopping,Internet Services"
c08b5441-a05b-9777-b7a6-012728caddd9,Software,Software
c027cef7-0f5e-e22c-cc82-937146652034,Hedge Funds,"Financial Services,Lending and Investments"
bf5c955e-6f68-da36-e502-1d3962c28325,Social Impact,Other
be24ff10-a040-7d8f-d7a7-1169cc22497b,Digital Signage,Sales and Marketing
be0f36fc-f1fa-504e-b9a7-d5496cc754cd,Organic,Sustainability
be0cfcc4-764a-5444-8285-6e07bfb1c80d,Professional Networking,"Community and Lifestyle,Professional Services"
bca6746a-a1b8-0637-b9b2-985d70a7e507,Recreation,Sports
bb2ad65f-1009-db81-c6f6-83dbcfd64870,Automotive,Transportation
bb1777e5-25f3-b9f2-922b-0d5defe0d5bb,Semantic Search,Internet Services
b9cab5d0-2afc-6b49-ff6d-796d2ab49334,Content Delivery Network,Content and Publishing
b94dffa8-e39f-1a70-ef05-451d1b29fb20,Location Based Services,"Data and Analytics,Internet Services,Navigation and Mapping"
b8ca872c-983d-f8dd-3639-2660511203ef,Insurance,Financial Services
b433ae30-feb9-c0c6-75b0-6b16174ebe09,Outdoor Advertising,"Advertising,Sales and Marketing"
b37dbaeb-c825-e6a0-36de-84556a5d2e1f,Venture Capital,"Financial Services,Lending and Investments"
b26d30cb-466d-10fb-df31-7931541c33aa,Virtual Goods,"Commerce and Shopping,Software"
b1b3b2d7-85ed-2cb1-fc60-3e2b6a3b5ddd,Video Streaming,"Content and Publishing,Media and Entertainment,Video"
b1234a83-0ad1-c131-b788-81f8eb48c35e,Legal,Professional Services
b05bd17d-1df9-8add-ae14-14e07dc37c9c,Sporting Goods,"Commerce and Shopping,Sports"
af922a55-ff56-771a-b9b5-06c1284ef0c8,Gamification,Gaming
af333248-9c7e-50c5-168a-e91b86595a17,Apps,"Apps,Software"
aeae9394-5d34-5f75-8439-5edfe8f12644,Resorts,Travel and Tourism
ae8f68d2-9319-f2c2-3549-4f1ac2851660,3D Printing,Manufacturing
ae5718dc-8602-c733-e62b-28e6167091ad,Finance,Financial Services
ae47d4bc-fe64-9638-06b8-ffdf91a9f82a,Cloud Management,"Information Technology,Internet Services,Software"
ad8f33a8-c5d0-b7d7-86f3-89aa2954c119,Visual Search,Internet Services
acee45c1-07e3-c7a2-4853-f9df6c484e9a,Web Browsers,"Internet Services,Software"
ac909e6a-4cc4-07ab-9d41-7eb068ebdb35,Darknet,Internet Services
ac34c4c6-e430-f66f-44ae-ef8ca45b52bb,Semantic Web,Internet Services
aad2f937-0707-e264-9c2e-63a2f5083150,Soccer,Sports
a90af7ae-cd98-8e2a-1a6f-589fe4037a86,Concerts,"Events,Media and Entertainment"
a7e6d51c-665d-5b0b-11ca-07737db50c4e,Local Advertising,"Advertising,Sales and Marketing"
a69e7c2b-5a12-d999-e85e-a0da5f05b3d3,Computer Vision,"Hardware,Software"
a5194b80-118a-af3e-db95-665fd12f2474,Dietary Supplements,"Food and Beverage,Health Care"
a4ef4f4d-5063-a104-f758-53d855db79f1,MMO Games,Gaming
a477d733-6770-63f6-8b37-9444379e3186,National Security,Government and Military
a3a34a17-be2d-c903-687f-6f1f3e6530ba,Assisted Living,Health Care
a1ec698c-164f-d8da-096f-bdbb751c21a8,Music Venues,Media and Entertainment
a146d2f4-4b22-453a-f8bd-e671e3182112,Small and Medium Businesses,Other
a05dcda6-3d19-288d-9b66-1473706720aa,Product Design,Design
a0144815-bd8f-9a1b-42ae-74c91617a77c,Sports,Sports
9fe4b692-8586-3baa-84a4-9ccf4d6eb0fa,Infrastructure,Other
9ee51d4b-2d79-a32c-479f-668767ad6898,Aquaculture,Agriculture and Farming
9ebf5fb1-a1f9-7c81-da82-517c05bfee06,Direct Sales,Sales and Marketing
9d01b6be-c071-6db0-eb2d-b18094bde681,Wealth Management,Financial Services
9b7bff94-c36c-b8d4-8789-69670454fe84,Direct Marketing,Sales and Marketing
9a7758a1-8a6d-6489-3369-7315ac5e5e8c,Browser Extensions,Software
99c5404c-0ff5-8ee5-d334-4b944ddb8cd9,Analytics,Data and Analytics
98e7ead5-ed98-1a63-daa7-9ec18919a6ab,Content Creators,Media and Entertainment
982fba85-05b9-7702-8a4e-518424a489ca,Natural Resources,"Natural Resources,Sustainability"
95642ff0-23e9-79a3-612b-50de99f06305,Transportation,Transportation
93872d37-a1f6-a0af-b9e2-0b150c79f8eb,Retail Technology,"Commerce and Shopping,Hardware,Software"
92df4ad0-7ad6-87b0-2025-9e6c0f2395f8,In-Flight Entertainment,Media and Entertainment
92deb86b-de05-53d4-e1f9-39658c12d2da,Human Resources,Administrative Services
917e01db-e156-b8f9-507f-ae9b76ecfc48,Event Management,"Events,Media and Entertainment"
8eced4ea-e4ff-e56a-b97a-7d87d6394fd0,Underserved Children,Other
8e444f22-2d12-19a1-d6d0-1d1952887a83,Clinical Trials,Health Care
8c453fd3-90cc-5be3-23a6-cb2944fb05cf,Data Visualization,"Data and Analytics,Design,Information Technology,Software"
8c09868f-b82e-6e44-5908-384b5980db03,Prediction Markets,Financial Services
8bd96e9c-db8c-261d-d074-1b80a919c786,Collectibles,Commerce and Shopping
8a3ae13e-ac51-4759-31a5-c578e6c1e31c,Farmers Market,Food and Beverage
89fc23fc-2ec1-4aa3-906e-e6afb448ae0b,Commercial Real Estate,Real Estate
89da20c4-f7c5-1b6c-6ec6-ca4c272df3c9,Consumer Electronics,"Consumer Electronics,Hardware"
8672f521-ce9a-e851-adff-c35d2441a0ad,Travel,Travel and Tourism
839a5a99-3262-1e44-7688-895f3570d3aa,Meeting Software,"Messaging and Telecommunications,Software"
8199d452-4fac-bd2f-30c2-4be85dc551cc,Emerging Markets,Other
80ccab3c-f397-2628-2bc6-bdcbde68eb89,Gambling,Gaming
7ec4e4c8-a648-da5d-c02b-90a98c5ebfcf,Supply Chain Management,Transportation
7d5e72c3-4752-def2-ac40-e24aac2a004b,Parking,Transportation
7cd5bc2d-b7d1-91dd-1778-eabdf1399ed9,Nutraceutical,Health Care
789bbbef-c46e-1532-a68d-f17da87090ea,Natural Language Processing,"Artificial Intelligence,Data and Analytics,Software"
78816963-be25-bc89-e317-a1b894f472cb,Non Profit,Other
7866a1c0-21ec-241c-c2a6-d263a6ef49dd,Cloud Computing,"Internet Services,Software"
77ed4b62-9d8b-8e69-fc03-56fd2297092c,Homeland Security,Privacy and Security
76c672c1-ef33-72f0-8027-d747c8c6e4ba,3D Technology,"Hardware,Software"
7607ad5b-247c-f366-00ba-dd0e738ec5b1,Jewelry,Consumer Goods
755a3876-a84b-866f-a96c-396515fd5eb1,Advertising Platforms,Advertising
72eb8163-24b3-80c8-6851-21019ceaaaf4,Lead Management,Sales and Marketing
71918537-d499-ddfa-ec1c-ea7e2b775289,Charter Schools,Education
70c61872-0802-45b9-3a48-aba7431b7bde,QR Codes,Software
6f169dae-3199-cda7-a7eb-94c30066691c,Digital Entertainment,Media and Entertainment
6ed1eddf-4d71-581a-c523-7ccdf6759e64,Photo Sharing,"Content and Publishing,Media and Entertainment"
6d8f96f4-91cc-9501-4ad2-d66e65cfbca7,Presentations,Software
6d121d5d-b67f-1765-6403-d33e865f0e28,Price Comparison,Commerce and Shopping
6cb68537-2de1-b041-2ee5-451ff81bccab,Advertising,"Advertising,Sales and Marketing"
6a733ac8-b79c-e2d2-55b9-cc3d66435eb6,Agriculture,Agriculture and Farming
6a29209e-2241-72fd-358f-77f6e99905c6,Politics,Government and Military
68e7ba7c-5e31-2abe-ec3e-c157059ec904,Nightlife,"Events,Media and Entertainment"
687e34ef-30e2-af08-a178-436d6b53d633,Email,"Information Technology,Internet Services,Messaging and Telecommunications"
68250c3a-6cf5-86fb-281e-9072ae2d4fe8,Banking,"Financial Services,Lending and Investments"
6798b0e8-d683-9088-f29b-e9838a21e08a,Electrical Distribution,Energy
66be03e0-5dab-b881-1c03-0a249714bf56,Ticketing,"Events,Media and Entertainment"
655df1bf-587c-59e3-4665-136fb2920827,Shopping,Commerce and Shopping
5ea0cdb7-c9a6-47fc-50f8-c9b0fac04863,Machine Learning,"Artificial Intelligence,Data and Analytics,Software"
5e863b20-28f6-a760-89c7-005249ab4a70,Organic Food,Food and Beverage
5d9b1750-8176-20fb-3bc6-f02ea58c7215,Adventure Travel,Travel and Tourism
5ca011af-31fe-335c-6866-ff8b635bb2f8,Tourism,Travel and Tourism
5c362e08-2d00-f3b4-ca60-584bfcc4e72f,Publishing,"Content and Publishing,Media and Entertainment"
5b8aca67-4f27-bd26-d245-0350b537165e,Transaction Processing,"Financial Services,Payments,Software"
564e5e59-65fb-82ef-ef3a-5084e5fa6132,Content Discovery,"Content and Publishing,Media and Entertainment"
54af3c84-9aaa-f5b7-8a00-68d3ad54c3a8,Personal Branding,Sales and Marketing
54ae5944-5d30-95de-62d5-170535f943cf,Personal Finance,Financial Services
541939b6-43da-dc84-31e3-3523a87a2129,Film Production,"Media and Entertainment,Video"
51c0d758-772d-e2e5-f7ea-0988d5a7d8f8,Indoor Positioning,Navigation and Mapping
513c0231-6c91-3702-ab2a-4f01b7ec73fa,Nightclubs,"Events,Media and Entertainment"
51385655-f802-346b-045d-f44f461989fc,Restaurants,Food and Beverage
50f7f0b8-21a5-22e3-20ff-34c02396a047,Financial Exchanges,"Financial Services,Lending and Investments"
4d5971dc-db1a-a9a5-8911-9f546f3c2be2,Edutainment,"Education,Media and Entertainment"
4d4b3487-d2f7-4605-328a-adddc1a693be,Contact Management,"Information Technology,Software"
4c6005cd-3476-35d2-ceab-b7d4f1d89e8b,Security,Privacy and Security
4c2e7382-66cb-5e44-9b3a-d9983d537a0c,Rehabilitation,Health Care
4c05603a-de94-fa09-adb6-7ecde1c12c14,Auctions,Commerce and Shopping
4bacab56-cafe-2e50-fdb2-7cb16c0b1cd6,SEO,"Internet Services,Sales and Marketing"
4b6c9531-07fb-d30c-4200-4af5c8571b14,DIY,Consumer Goods
4b5272c7-6e2e-cba3-5b37-e35dcb737344,Quantified Self,"Biotechnology,Data and Analytics"
48f77fba-91a0-ac0f-8367-b1aff1dc8170,Fleet Management,Transportation
47e90bba-dfb4-2b2e-0034-d3e7c809373c,Outdoors,Sports
47b7f337-c81c-bb9e-e4d2-08022a0dd60f,Genetics,"Biotechnology,Health Care"
47592b2e-aaaa-6aa3-d0e9-82ab5e525c2d,TV Production,"Media and Entertainment,Video"
46c250d5-00f6-d12f-4ad8-9b16f8b233d4,Cyber Security,"Information Technology,Privacy and Security"
45a2bbea-ddd8-9198-5358-37d9c1c7e8b2,Home Renovation,Real Estate
44cbfd35-6e4b-3af5-74d2-ab01eb112bbd,Stock Exchanges,"Financial Services,Lending and Investments"
421943ef-50ae-c811-470e-c66a0323cf0d,Robotics,"Hardware,Science and Engineering,Software"
3d95d448-d63e-c411-769b-9aa1321cc7a6,Energy Management,Energy
3d91b7f7-78f6-2c44-e6ea-9a5e3e392f06,Craft Beer,Food and Beverage
3cfdd7cc-1dfe-1746-2d08-aa25f056d781,CAD,"Design,Software"
3b1e8633-70a5-0f3e-acbd-a5faa1c7b363,Ad Targeting,Advertising
38332b1e-9615-917e-89c0-346d631ffa97,Recycling,Sustainability
37d687ed-5ad9-d434-d1fc-09accbb96667,Point of Sale,Commerce and Shopping
371b7b2c-75fb-9c00-1778-5a24bed20453,Developer APIs,Software
351abbd7-efe7-dfb2-59c3-4d608db4d53a,Audiobooks,"Media and Entertainment,Music and Audio"
342cedc1-6dff-c0fa-2e2f-f376b7db1f69,Psychology,Health Care
3373d4b5-2db0-b716-1e22-f57271941e32,Green Building,"Real Estate,Sustainability"
3082b9fa-e0fd-150a-1f2d-a6f8d3515c0c,Advanced Materials,"Manufacturing,Science and Engineering"
2fb9b79f-0f4b-0f2b-a2f6-ef284a2a4219,Performing Arts,Media and Entertainment
2e3b8104-b12e-468a-65b8-0989208f0b16,Business Intelligence,Data and Analytics
2d294e65-80ba-93e5-3a51-92cf5e2533ed,Sales Automation,"Information Technology,Sales and Marketing,Software"
292d82c5-5381-9717-827f-3122ee792e71,Web Development,Software
28169022-9937-f752-a38c-c40538cd7222,Oil and Gas,"Energy,Natural Resources"
24c5db84-02a2-6040-49cf-4314b287674f,Identity Management,"Information Technology,Privacy and Security"
24c09530-c94b-258f-2e77-10aaa0bfe87e,Procurement,Transportation
2366c2de-e560-cdd6-458d-749172aa7077,Film Distribution,"Media and Entertainment,Video"
22fcae54-8845-1b71-e604-4f57fd3bcfd2,Collaborative Consumption,Other
222a57e3-269e-6c3f-d2df-01a65ff1b9ac,Sex Industry,Community and Lifestyle
217f63af-2e8f-9978-085b-262592840759,Collaboration,Other
2095dd4a-768e-f2d5-c367-c3927a1188d2,Casual Games,Gaming
1f24c7e8-a95d-3e1b-2724-0941e80c9884,CRM,"Information Technology,Sales and Marketing,Software"
1eededec-493e-2f3d-9705-502fcc7485c0,Fitness,Sports
1aa6e5d3-a882-e0d8-b37d-bec5a7f509fd,NFC,Hardware
15c8defa-8bae-e547-1329-e2365bb9bb51,Parenting,Community and Lifestyle
11f6d47d-1ab5-39d9-203c-272b227898c7,Humanitarian,Community and Lifestyle
119ffa05-2231-044c-a99a-e9b030897dd4,Market Research,"Data and Analytics,Design"
10b5eb37-9363-79fb-7fc9-4e8b04583307,Photography,"Content and Publishing,Media and Entertainment"
0d39287e-5b13-77a6-9702-74294daded43,Search Engine,Internet Services
0c4a69d3-888c-dbb6-0af3-28e09b80393c,Data Integration,"Data and Analytics,Information Technology,Software"
0982d9e2-a0bc-a98e-db02-20b18c8b036a,Video Editing,"Content and Publishing,Media and Entertainment,Video"
08e0a9b4-14d1-c281-daa8-a228c45e5110,SMS,"Internet Services,Messaging and Telecommunications"
05e1d0a1-c34d-cf1a-c686-5a6466a8151b,Audio,"Media and Entertainment,Music and Audio"
05ce5995-19d0-7c15-f4c7-19fb5c641c33,Network Security,"Information Technology,Privacy and Security"
048fa3b0-ae53-7c4e-c5b7-1ae93b6dc303,Broadcasting,"Media and Entertainment,Video"
04049818-51ba-3bc8-c0b8-226df09e97c9,Flash Storage,Hardware
03ef4ce7-c2ac-aa82-a8f4-d97ab53cd085,Brewing,Food and Beverage
025caab7-3e54-98f0-061c-73e7af159cd1,Education,Education
fdbc28f6-7091-1714-42c9-0c6c435b3479,Alternative Medicine,Health Care
fb5cc2a4-3acd-dc96-a784-d725775b14b1,Human Computer Interaction,"Design,Science and Engineering"
f8c49f2b-05d1-923c-f820-6d67bd12f35f,Photo Editing,"Content and Publishing,Media and Entertainment"
f3f21d3f-29ac-5008-c81e-f57c2ac9dc00,Motion Capture,"Media and Entertainment,Video"
f3b5e481-8880-c039-99df-6a980fadb070,Green Consumer Goods,"Consumer Goods,Sustainability"
f3ab458a-2913-2652-0187-66d083c5c860,Coupons,Commerce and Shopping
f1e750d2-a898-8c0f-7d78-5d687b71b0a7,Textiles,Manufacturing
f096ed15-f63f-d7f4-b2c3-89b70da2bd5e,Product Search,Internet Services
f0752dac-b351-89d6-ff07-a1dc47d5ffc3,Veterinary,Health Care
edfe69d7-57c2-dac4-fb02-86d10da987f1,Virtual Currency,"Financial Services,Payments,Software"
e7d8b7ca-c72b-7793-5a6d-2801f6a0e8ee,Hospitality,Travel and Tourism
e5fc663a-6268-a965-2482-309f11b21c7b,Social News,Media and Entertainment
